,Country,Region,Population,Area,Net_migration,GDP_per_capita,Literacy_rate,Birthrate,Deathrate,Unemployment_rate,Infant_mortality,GDP,Main_sector
94,Iceland,WESTERN EUROPE,299388,103000,2.38,30900,99.9,13.64,6.72,2.8,3.31,9251,Terciario
95,India,ASIA (EX. NEAR EAST),1095351995,3287590,-0.07,2900,59.5,22.01,8.18,8.8,56.29,3176520,Terciario
96,Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,0,3200,87.9,20.34,6.25,5.4,35.6,785448,Secundario
97,Iran,ASIA (EX. NEAR EAST),68688433,1648000,-0.84,7000,79.4,17,5.55,12.4,41.58,480819,Terciario
98,Iraq,NEAR EAST,26783383,437072,0,1500,40.4,31.98,5.37,16,50.25,40175,Secundario
99,Ireland,WESTERN EUROPE,4062235,70280,4.99,29600,98,14.45,7.82,6.4,5.39,120242,Terciario
100,Isle of Man,WESTERN EUROPE,75441,572,5.36,21000,99,11.05,11.19,2.7,5.93,1584,Terciario
101,Israel,NEAR EAST,6352117,20770,0.68,19800,95.4,17.97,6.18,4.3,7.03,125771,Terciario
102,Italy,WESTERN EUROPE,58133509,301230,2.07,26700,98.6,8.72,10.4,11.4,5.94,1552164,Terciario
103,Jamaica,LATIN AMER. & CARIB,2758124,10991,-4.92,3900,87.9,20.82,6.52,12.2,12.36,10756,Terciario
104,Japan,ASIA (EX. NEAR EAST),127463611,377835,0,28200,99,9.37,9.16,2.9,3.26,3594473,Terciario
105,Jersey,WESTERN EUROPE,91084,116,2.76,24800,99,9.3,9.28,4,5.24,2258,Terciario
106,Jordan,NEAR EAST,5906760,92300,6.59,4300,91.3,21.25,2.65,16.5,17.35,25399,Terciario
107,Kazakhstan,C.W. OF IND. STATES,15233244,2717300,-3.35,6300,98.4,16,9.42,5,29.21,95969,Terciario
108,Kenya,SUB-SAHARAN AFRICA,34707817,582650,-0.1,1000,85.1,39.72,14.02,40,61.47,34707,Terciario
109,Kiribati,OCEANIA,105432,811,0,800,63.2,30.65,8.26,30.6,48.52,84,Terciario
110,"Korea, North ",ASIA (EX. NEAR EAST),23113019,120540,0,1300,99,15.54,7.13,6,24.04,30046,Terciario
